,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,Luiz Inácio Lula da Silva ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984866,00.html",Null,Null,"Born: October 27, 1945 (age 75 years), Caetés, State of Pernambuco, Brazil","Luiz Inácio Lula da Silva, known as Lula, is a Brazilian politician and former union leader who served as the 35th President of Brazil from 1 January 2003 to 31 December 2010. ","Caetés, State of Pernambuco, Brazil","October 27, 1945",75,
1,J.T. Wang ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985425,00.html",Null,Null,Born: July 1954 (age 66 years),Null,,July 1954,66,
2,Admiral Mike Mullen ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985426,00.html",Null,Null,"Born: October 4, 1946 (age 74 years), Los Angeles County, CA","Michael Glenn Mullen is a retired United States Navy admiral, who served as the 17th Chairman of the Joint Chiefs of Staff from October 1, 2007, to September 30, 2011. Mullen previously served as the Navy's 28th Chief of Naval Operations from July 22, 2005, to September 29, 2007. ","Los Angeles County, CA","October 4, 1946",74,
3,Barack Obama ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985427,00.html",Null,Null,"Born: August 4, 1961 (age 59 years), Kapiʻolani Medical Center for Women & Children, Honolulu, HI","Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. ","Kapiʻolani Medical Center for Women & Children, Honolulu, HI","August 4, 1961",59,
4,Ron Bloom ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985429,00.html",Null,Null,"Born: 1956 (age 64 years), New York, NY",Ron Bloom was a senior official in the Obama Administration from February 2009 to August 2011. This included working as the Assistant to the President for Manufacturing Policy between February 2011 and ... ,"New York, NY",1956,64,
5,Yukio Hatoyama ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985436,00.html",Null,Null,"Born: February 11, 1947 (age 73 years), Bunkyo City, Tokyo, Japan",Yukio Hatoyama is a former Japanese politician who served as Prime Minister of Japan from 16 September 2009 to 8 June 2010. He was the first Prime Minister from the modern Democratic Party of Japan. ,"Bunkyo City, Tokyo, Japan","February 11, 1947",73,He
6,Dominique Strauss-Kahn ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985437,00.html",Null,Null,"Born: April 25, 1949 (age 71 years), Neuilly-sur-Seine, France","Dominique Gaston André Strauss-Kahn is a French economist, politician, former managing director of the International Monetary Fund, and a controversial figure in the French Socialist Party due to his involvement in several financial and sexual scandals. ","Neuilly-sur-Seine, France","April 25, 1949",71,his
7,Nancy Pelosi ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985438,00.html",Null,Null,"Born: March 26, 1940 (age 80 years), Baltimore, MD","Nancy Patricia Pelosi is an American politician serving as Speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. Pelosi has served as a U.S. representative from California since 1987. ","Baltimore, MD","March 26, 1940",80,
8,Sarah Palin ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984871,00.html",Null,Null,"Born: February 11, 1964 (age 56 years), Sandpoint, ID","Sarah Louise Palin is an American retired politician, commentator, author, and reality television personality, who served as the ninth governor of Alaska from 2006 until her resignation in 2009. ","Sandpoint, ID","February 11, 1964",56,her
9,Salam Fayyad ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984897,00.html",Null,Null,"Born: April 12, 1952 (age 68 years), Deir al-Ghusun",Salam Fayyad is a Jordanian-Palestinian politician and former Prime Minister of the Palestinian Authority and Finance Minister. He was Finance Minister from June 2002 to November 2005 and from March 2007 to May 2012. Fayyad was Prime Minister between June 2007 and June 2013. ,Deir al-Ghusun,"April 12, 1952",68,He
10,Jon Kyl ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984901,00.html",Null,Null,"Born: April 25, 1942 (age 78 years), Oakland, NE","Jon Llewellyn Kyl is an American politician who served as a United States Senator for Arizona from 1995 to 2013 and again in 2018. A Republican, he held both of Arizona's Senate seats at different times, serving alongside John McCain during his first stint. Kyl was Senate Minority Whip from 2007 until 2013. ","Oakland, NE","April 25, 1942",78,he
11,Glenn Beck ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985415,00.html",Null,Null,"Born: February 10, 1964 (age 56 years), Everett, WA","Glenn Lee Beck is an American conservative political commentator, radio host, television producer. He is the CEO, founder, and owner of Mercury Radio Arts, the parent company of his television and radio network TheBlaze. ","Everett, WA","February 10, 1964",56,He
12,Annise Parker ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985414,00.html",Null,Null,"Born: May 17, 1956 (age 64 years), Houston, TX","Annise Danette Parker is an American politician who served as the 61st Mayor of Houston, Texas, from 2010 until 2016. She also served as an at-large member of the Houston City Council from 1998 to 2003 and city controller from 2004 to 2010. ","Houston, TX","May 17, 1956",64,She
13,Tidjane Thiam ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985413,00.html",Null,Null,"Born: July 29, 1962 (age 58 years), Côte d'Ivoire","Tidjane Thiam is an Ivorian banker who was the chief executive officer of Swiss bank Credit Suisse from March 2015 to February 2020. He was the chief financial officer of British banking group Prudential from 2007 to 2009, and then its CEO until 2013. ",Côte d'Ivoire,"July 29, 1962",58,He
14,Jenny Beth Martin ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985462,00.html",Null,Null,"Born: July 2, 1970 (age 50 years), Georgia","Jenny Beth Martin is the co-founder and national coordinator of the Tea Party Patriots, and a columnist for The Washington Times. In February 2010, Martin was named to TIME Magazine's 100 Most Influential Leaders. She is the co-author of Tea Party Patriots: The Second American Revolution. ",Georgia,"July 2, 1970",50,She
15,Christine Lagarde ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985463,00.html",Null,Null,"Born: January 1, 1956 (age 64 years), 9th arrondissement of Paris, Paris, France","Christine Madeleine Odette Lagarde is a French politician, businessperson and lawyer serving as President of the European Central Bank since 1st November 2019. Between July 2011 and September 2019, she served as Chair and Managing Director of the International Monetary Fund. ","9th arrondissement of Paris, Paris, France","January 1, 1956",64,she
16,Recep Tayyip Erdogan ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985464,00.html",Null,Null,"Born: February 26, 1954 (age 66 years), Kasımpaşa, Beyoğlu, Turkey",Recep Tayyip Erdoğan is a Turkish politician serving as the current President of Turkey. He previously served as Prime Minister of Turkey from 2003 to 2014 and as Mayor of Istanbul from 1994 to 1998. ,"Kasımpaşa, Beyoğlu, Turkey","February 26, 1954",66,He
17,General Stanley McChrystal ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984880,00.html",Null,Null,"Born: August 14, 1954 (age 66 years), Fort Leavenworth","Stanley Allen McChrystal is a retired United States Army general best known for his command of Joint Special Operations Command in the mid-2000s. His last assignment was as Commander, International Security Assistance Force and Commander, United States Forces – Afghanistan. ",Fort Leavenworth,"August 14, 1954",66,his
18,Manmohan Singh ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984890,00.html",Null,Null,"Born: September 26, 1932 (age 88 years), Gah, Pakistan","Manmohan Singh is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014. The first Sikh in office, Singh was also the first prime minister since Jawaharlal Nehru to be re-elected after completing a full five-year term. ","Gah, Pakistan","September 26, 1932",88,
19,Bo Xilai ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985416,00.html",Null,Null,"Born: July 3, 1949 (age 71 years), Beiping","Bo Xilai is a former Chinese politician who was convicted on bribery and embezzlement charges. He came to prominence through his tenures as Mayor of Dalian and then the governor of Liaoning. From 2004 to November 2007, he served as Minister of Commerce. ",Beiping,"July 3, 1949",71,He
20,Mark Carney ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985417,00.html",Null,Null,"Born: March 16, 1965 (age 55 years), Fort Smith, Canada","Mark Joseph Carney OC is an economist and banker who served as the Governor of the Bank of Canada from 2008 until 2013 and the Governor of the Bank of England from 2013 to 2020. He holds Canadian, British and Irish citizenship and was Chairman of the Financial Stability Board from 2011 to 2018. ","Fort Smith, Canada","March 16, 1965",55,He
21,Sister Carol Keehan ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985418,00.html",Null,Null,"Born: Capitol Hill, Washington, D.C.","Sister Carol Keehan, D.C. is a member of the Daughters of Charity of Saint Vincent de Paul and the CEO of the Catholic Health Association of the United States. ",,"Capitol Hill, Washington,",,
22,Sheik Khalifa bin Zayed al-Nahyan ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985435,00.html",Null,Null,"Born: September 7, 1948 (age 72 years), Qasr Al Muwaiji, Al Ain, United Arab Emirates","Khalifa bin Zayed bin Sultan Al Nahyan is the current president of the United Arab Emirates, the emir of Abu Dhabi, the supreme commander of the United Arab Emirates Armed Forces and the chairman of the Supreme Petroleum Council. ","Qasr Al Muwaiji, Al Ain, United Arab Emirates","September 7, 1948",72,
