,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
23,Robin Li ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1985434,00.html",Null,Null,"Born: November 17, 1968 (age 52 years), Yangquan, China","Robin Li Yanhong is a Chinese software engineer and billionaire internet entrepreneur. He is the co-founder of the search engine Baidu, and one of the richest people in China, with a net worth of US$6.0 billion as of May 2020. ","Yangquan, China","November 17, 1968",52,He
24,Scott Brown ,LEADERS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984864_1984895,00.html",Null,Null,"Born: September 12, 1959 (age 61 years), Kittery, ME","Scott Philip Brown is an American diplomat, attorney, and politician serving as the United States Ambassador to New Zealand and Samoa. He is a former United States Senator for Massachusetts, and also was the 2014 Republican nominee for the U.S. Senate in New Hampshire. ","Kittery, ME","September 12, 1959",61,He
25,Bill Clinton ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1984950,00.html",Null,Null,"Born: August 19, 1946 (age 74 years), Hope, AR","William Jefferson Clinton is an American politician and attorney who served as the 42nd president of the United States from 1993 to 2001. Prior to his presidency, he served as governor of Arkansas and as attorney general of Arkansas. ","Hope, AR","August 19, 1946",74,his
26,Kim Yu-Na ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985220,00.html",Null,Null,"Born: September 5, 1990 (age 30 years), Bucheon-si, South Korea","Yuna Kim, also credited in eastern name order as Kim Yuna or Kim Yeon-ah, is a retired South Korean competitive figure skater. ","Bucheon-si, South Korea","September 5, 1990",30,
27,Mir-Hossein Mousavi ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985221,00.html",Null,Null,"Born: September 29, 1941 (age 79 years), Khamaneh, Iran","Mir-Hossein Mousavi Khameneh is an Iranian reformist politician, artist and architect who served as the seventy-ninth and last Prime Minister of Iran from 1981 to 1989. He was a reformist candidate for the 2009 presidential election and eventually the leader of the opposition in the post-election unrest. ","Khamaneh, Iran","September 29, 1941",79,He
28,Ben Stiller ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985239,00.html",Null,Null,"Born: November 30, 1965 (age 55 years), New York, NY","Benjamin Edward Meara Stiller is an American actor, comedian, film producer, film director, and writer. He is the son of the late comedians and actors Jerry Stiller and Anne Meara. ","New York, NY","November 30, 1965",55,He
29,Temple Grandin ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985222,00.html",Null,Null,"Born: August 29, 1947 (age 73 years), Boston, MA","Mary Temple Grandin is a prominent proponent for the humane treatment of livestock for slaughter and author of more than 60 scientific papers on animal behavior. She is a consultant to the livestock industry on animal behavior, and an autism spokesperson. ","Boston, MA","August 29, 1947",73,She
30,P. Namperumalsamy ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985223,00.html",Null,Null,"Born: January 11, 1939 (age 81 years), Ambasamudram, India","Perumalsamy Namperumalsamy is an Indian ophthalmologist who specializes in diabetic retinopathy. He is also a retina-vitreous expert. Namperumalsamy is currently the chairman Emeritus of Aravind Eye Hospital, Madurai. He is known for bringing assembly-line efficiency to eye surgery. ","Ambasamudram, India","January 11, 1939",81,He
31,Nay Phone Latt ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985235,00.html",Null,Null,"Born: June 28, 1980 (age 40 years), Yangon, Myanmar (Burma)","Nay Phone Latt is a Burmese blogger and activist, currently serving as a Yangon Region Hluttaw MP for Thingangyun Township. He was a recipient of PEN/Barbara Goldsmith Freedom to Write Award and selected for 2010 Time 100 list under Hero Categories. ","Yangon, Myanmar (Burma)","June 28, 1980",40,He
32,Chen Shu-chu ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985237,00.html",Null,Null,"Born: 1951 (age 69 years), Taitung County, Taiwan","Chen Shu-chu is a vegetable vendor and philanthropist from Taitung County, Taiwan. She gives generously with her modest incomes. She said ""Money serves its purpose only when it is used for those who need it and always be happy when she helped others."" ","Taitung County, Taiwan",1951,69,She
33,Phil Mickelson ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985236,00.html",Null,Null,"Born: June 16, 1970 (age 50 years), San Diego, CA","Philip Alfred Mickelson, nicknamed Lefty, is an American professional golfer. He has won 44 events on the PGA Tour, including five major championships: three Masters titles, a PGA Championship, and an Open Championship. Mickelson is one of 12 players in the history of golf to win three of the four majors. ","San Diego, CA","June 16, 1970",50,He
34,Didier Drogba ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985240,00.html",Null,Null,"Born: March 11, 1978 (age 42 years), Abidjan, Côte d’Ivoire",Didier Yves Drogba Tébily is an Ivorian retired professional footballer who played as a striker. He is the all-time top scorer and former captain of the Ivory Coast national team. ,"Abidjan, Côte d’Ivoire","March 11, 1978",42,He
35,Graça Machel ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985241,00.html",Null,Null,"Born: October 17, 1945 (age 75 years), Gaza Province, Mozambique",Graça Machel DBE HonFBA is a Mozambican politician and humanitarian. She is the widow of both former presidents of Mozambique and South Africa; Mozambican president Samora Machel and South African president Nelson Mandela. ,"Gaza Province, Mozambique","October 17, 1945",75,She
36,Reem Al Numery ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985230,00.html",Null,Null,"Born: 1996 (age 24 years), Yemen","Reem Al Numery is a children's rights activist in Yemen. Known for resisting child marriage, she was honored by U.S. Secretary of State Hillary Clinton on March 11, 2009, with the International Women of Courage Award. She was listed in the Time Magazine 2010 100 Most Influential People in the World. ",Yemen,1996,24,she
37,Sachin Tendulkar ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985228,00.html",Null,Null,"Born: April 24, 1973 (age 47 years), Mumbai, India",Sachin Ramesh Tendulkar is an Indian former international cricketer who served as captain of the Indian national team. He is widely regarded as the greatest batsmen in the history of cricket. He is the highest run scorer of all time in International cricket. ,"Mumbai, India","April 24, 1973",47,He
38,Tristan Lecomte ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985225,00.html",Null,Null,"Born: 1973 (age 47 years), Reims, France",Null,"Reims, France",1973,47,
39,Liya Kebede ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985231,00.html",Null,Null,"Born: March 1, 1978 (age 42 years), Addis Ababa, Ethiopia","Liya Kebede is an Ethiopian-born model, maternal health advocate, clothing designer, and actress. She has appeared on the cover of Vogue three times. Kebede has served as the WHO's Ambassador for Maternal, Newborn and Child Health since 2005. ","Addis Ababa, Ethiopia","March 1, 1978",42,She
40,Kiran Mazumdar-Shaw ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985233,00.html",Null,Null,"Born: March 23, 1953 (age 67 years), Pune, India","Kiran Mazumdar-Shaw is an Indian billionaire entrepreneur. She is the chairperson and managing director of Biocon Limited, a biotechnology company based in Bangalore, India and the former chairperson of Indian Institute of Management, Bangalore. ","Pune, India","March 23, 1953",67,She
41,Zahra Rahnavard ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985245,00.html",Null,Null,"Born: August 19, 1945 (age 75 years), Borujerd, Iran","Zahra Rahnavard is an Iranian academic, artist and politician. Rahnavard is a university professor, artist, and crusading intellectual who had been under house arrest from February 2011 to May 2018. In 2009, Foreign Policy magazine named her one of the world’s most distinguished thinkers. ","Borujerd, Iran","August 19, 1945",75,her
42,Jet Li ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985246,00.html",Null,Null,"Born: April 26, 1963 (age 57 years), Beijing, China","Li Lianjie, better known by his stage name Jet Li, is a Chinese-Singaporean film actor, film producer, martial artist, and retired Wushu champion who was born in Beijing. After three years of training with acclaimed Wushu teacher Wu Bin, Li won his first national championship for the Beijing Wushu Team. ","Beijing, China","April 26, 1963",57,his
43,Serena Williams ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985247,00.html",Null,Null,"Born: September 26, 1981 (age 39 years), Saginaw, MI","Serena Jameka Williams is an American professional tennis player and former world No. 1 in women's single tennis. She has won 23 Grand Slam singles titles, the most by any player in the Open Era, and the second-most of all time behind Margaret Court. ","Saginaw, MI","September 26, 1981",39,She
44,Chief Master Sergeant Tony Travis ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985270,00.html",Null,Null,Null,Null,,,,
45,Karls Paul-Noel ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985274,00.html",Null,Null,Null,Null,,,,
46,Rahul Singh ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985267,00.html",Null,Null,"Born: October 18, 1976 (age 44 years), Udaipur, India",Rahul Singh is an actor known for his works in Bollywood. Singh's mother Prabha Thakur is a Hindi poet and also a member of Rajya Sabha. ,"Udaipur, India","October 18, 1976",44,his
47,Valentin Abe ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985272,00.html",Null,Null,Born: Côte d'Ivoire,Null,,Côte,,
48,Malalai Joya ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985238,00.html",Null,Null,"Born: April 25, 1978 (age 42 years), Farah, Afghanistan","Malalai Joya is an activist, writer, and a former politician from Afghanistan. She served as a Parliamentarian in the National Assembly of Afghanistan from 2005 until early 2007, after being dismissed for publicly denouncing the presence of warlords and war criminals in the Afghan Parliament. ","Farah, Afghanistan","April 25, 1978",42,She
49,Will Allen ,ICONS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984949_1985243,00.html",Null,Null,"Born: February 8, 1949 (age 71 years), Rockville, MD",Will Allen is an American urban farmer based in Milwaukee and a retired professional basketball player. ,"Rockville, MD","February 8, 1949",71,
50,Lady Gaga ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1984943,00.html",Null,Null,"Born: March 28, 1986 (age 34 years), Lenox Hill Hospital, New York, NY","Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer, songwriter, record producer, actress and businesswoman. She is known for her consistent image reinventions and versatility in both music and entertainment. ","Lenox Hill Hospital, New York, NY","March 28, 1986",34,She
51,Conan O'Brien ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985538,00.html",Null,Null,"Born: April 18, 1963 (age 57 years), Brookline, MA","Conan Christopher O'Brien is an American television host, comedian, writer, podcaster, and producer. He is best known for hosting the late-night talk shows Late Night with Conan O'Brien, The Tonight Show with Conan O'Brien, and since 2010, Conan on the cable channel TBS. ","Brookline, MA","April 18, 1963",57,He
52,Kathryn Bigelow ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985539,00.html",Null,Null,"Born: November 27, 1951 (age 69 years), San Carlos, CA","Kathryn Ann Bigelow is an American film director, producer, and screenwriter. Covering a wide range of genres, her films include Near Dark, Point Break, Strange Days, K-19: The Widowmaker, The Hurt Locker, Zero Dark Thirty, and Detroit. ","San Carlos, CA","November 27, 1951",69,her
53,Oprah Winfrey ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985540,00.html",Null,Null,"Born: January 29, 1954 (age 66 years), Kosciusko, MS","Oprah Gail Winfrey is an American talk show host, television producer, actress, author, and philanthropist. ","Kosciusko, MS","January 29, 1954",66,
54,Valery Gergiev ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1984947,00.html",Null,Null,"Born: May 2, 1953 (age 67 years), Moscow, Russia","Valery Abisalovich Gergiev is a Russian conductor and opera company director of Ossetian origin. He is general director and artistic director of the Mariinsky Theatre, chief conductor of the Munich Philharmonic and artistic director of the White Nights Festival in St. Petersburg. ","Moscow, Russia","May 2, 1953",67,He
55,Robert Pattinson ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1984948,00.html",Null,Null,"Born: May 13, 1986 (age 34 years), London, United Kingdom","Robert Douglas Thomas Pattinson is an English actor. After starting to act in a London theatre club at the age of 15, he began his film career by playing Cedric Diggory in the fantasy film Harry Potter and the Goblet of Fire. ","London, United Kingdom","May 13, 1986",34,he
56,Ashton Kutcher ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985511,00.html",Null,Null,"Born: February 7, 1978 (age 42 years), Cedar Rapids, IA","Christopher Ashton Kutcher is an American actor, model, producer, entrepreneur, and venture capitalist. He began his acting career portraying Michael Kelso in sitcom That '70s Show. He made his film debut in the romantic comedy Coming Soon, followed by the comedy film Dude, Where's My Car?, which was a box office hit. ","Cedar Rapids, IA","February 7, 1978",42,He
57,Suzanne Collins ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985512,00.html",Null,Null,"Born: August 10, 1962 (age 58 years), Hartford, CT",Suzanne Collins is an American television writer and author. She is known as the author of The New York Times best-selling series The Underland Chronicles and The Hunger Games. ,"Hartford, CT","August 10, 1962",58,She
58,Taylor Swift ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985536,00.html",Null,Null,"Born: December 13, 1989 (age 30 years), West Reading, PA","Taylor Alison Swift is an American singer-songwriter. Her narrative songwriting, which often centers around her personal life, has received widespread critical plaudits and media coverage. Born in West Reading, Pennsylvania, Swift relocated to Nashville, Tennessee in 2004 to pursue a career in country music. ","West Reading, PA","December 13, 1989",30,Her
59,Neil Patrick Harris ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985537,00.html",Null,Null,"Born: June 15, 1973 (age 47 years), Albuquerque, NM","Neil Patrick Harris is an American actor, singer, comedian, writer, producer, and magician. He is known primarily for his comedy roles on television and his dramatic and musical stage roles. ","Albuquerque, NM","June 15, 1973",47,He
60,Carlton Cuse and Damon Lindelof ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985533,00.html",Null,Null,Null,Null,,,,
61,Prince ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985534,00.html",Null,Null,"Born: June 7, 1958, Minneapolis, MN","Prince Rogers Nelson was an American singer-songwriter, musician, record producer, dancer, and actor. He is widely regarded as one of the greatest musicians of his generation. ",,"June 7, 1958, Minneapolis,",,He
62,Lea Michele ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985535,00.html",Null,Null,"Born: August 29, 1986 (age 34 years), The Bronx, New York, NY","Lea Michele Sarfati is an American actress, singer, and author. She began her career as a child actress on Broadway, appearing in productions of Les Misérables, Ragtime, Fiddler on the Roof, and Spring Awakening. ","The Bronx, New York, NY","August 29, 1986",34,She
63,Jerry Holkins and Mike Krahulik ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985513,00.html",Null,Null,Null,Null,,,,
64,Simon Cowell ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985514,00.html",Null,Null,"Born: October 7, 1959 (age 61 years), Lambeth, London, United Kingdom","Simon Phillip Cowell is an English television personality, entrepreneur, entertainment manager, and record executive. ","Lambeth, London, United Kingdom","October 7, 1959",61,
65,Neill Blomkamp ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985520,00.html",Null,Null,"Born: September 17, 1979 (age 41 years), Johannesburg, South Africa","Neill Blomkamp is a South African-Canadian film director, producer, screenwriter, and animator. Blomkamp employs a documentary-style, hand-held, cinéma vérité technique, blending naturalistic and photo-realistic computer-generated effects, and his films often deal with themes of xenophobia and social segregation. ","Johannesburg, South Africa","September 17, 1979",41,his
66,Elton John ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985521,00.html",Null,Null,"Born: March 25, 1947 (age 73 years), Pinner, United Kingdom","Sir Elton Hercules John CH CBE is an English singer, songwriter, pianist, and composer. Collaborating with lyricist Bernie Taupin since 1967 on more than 30 albums, John has sold over 300 million records, making him one of the best-selling music artists of all time. ","Pinner, United Kingdom","March 25, 1947",73,
67,Marc Jacobs ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985522,00.html",Null,Null,"Born: April 9, 1963 (age 57 years), New York, NY","Marc Jacobs is an American fashion designer. He is the head designer for his own fashion label, Marc Jacobs, and formerly Marc by Marc Jacobs, a diffusion line, which was produced for approximately 15 years having been discontinued after the 2015 fall/winter collection. ","New York, NY","April 9, 1963",57,He
68,David Chang ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1984944,00.html",Null,Null,"Born: August 5, 1977 (age 43 years), Vienna, VA","David Chang is an American restaurateur, author, and television personality. He is the founder of the Momofuku restaurant group, which includes Momofuku Noodle Bar, Momofuku Ssäm Bar, Milk Bar, and ... ","Vienna, VA","August 5, 1977",43,He
69,Banksy ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1984945,00.html",Null,Null,"Born: July 28, 1973 (age 47 years), Yate, United Kingdom","Banksy is an anonymous England-based street artist, political activist, and film director, active since the 1990s. His satirical street art and subversive epigrams combine dark humour with graffiti executed in a distinctive stenciling technique. ","Yate, United Kingdom","July 28, 1973",47,His
70,Chetan Bhagat ,ARTISTS,2010,"www.content.time.com/time/specials/packages/article/0,28804,1984685_1984940_1985518,00.html",Null,Null,"Born: April 22, 1974 (age 46 years), New Delhi, India",Chetan Prakash Bhagat is an Indian author and columnist. He was included in Time magazine's list of World's 100 Most Influential People in 2010. Bhagat graduated in mechanical engineering at IIT Delhi and completed an MBA at IIM Ahmedabad. ,"New Delhi, India","April 22, 1974",46,He
