,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,Tina Fey ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1615973,00.html",Null,Null,"Born: May 18, 1970 (age 50 years), Upper Darby, PA","Elizabeth Stamatina ""Tina"" Fey is an American actress, comedian, writer, producer, and playwright. She is best known for her work on the NBC sketch comedy series Saturday Night Live and for creating the comedy series 30 Rock and Unbreakable Kimmy Schmidt. ","Upper Darby, PA","May 18, 1970",50,She
1,Youssou N'Dour ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1615978,00.html",Null,Null,"Born: October 1, 1959 (age 61 years), Dakar, Senegal","Youssou N'Dour is a Senegalese singer, songwriter, composer, occasional actor, businessman, and politician. In 2004, Rolling Stone magazine described him as, ""perhaps the most famous singer alive"" in Senegal and much of Africa. From April 2012 to September 2013, he was Senegal's Minister of Tourism. ","Dakar, Senegal","October 1, 1959",61,he
2,Anna Netrebko ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1615983,00.html",Null,Null,"Born: September 18, 1971 (age 49 years), Krasnodar, Russia","Anna Yuryevna Netrebko is a Russian-Austrian operatic soprano. Discovered and promoted by Valery Gergiev, she began her career at the Mariinsky Theatre, collaborating with the conductor in the theater and performances elsewhere. ","Krasnodar, Russia","September 18, 1971",49,she
3,Justin Timberlake ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1615988,00.html",Null,Null,"Born: January 31, 1981 (age 39 years), Memphis, TN","Justin Randall Timberlake is an American singer, songwriter, actor, and record producer. Born and raised in Tennessee, he appeared on the television shows Star Search and The All-New Mickey Mouse Club as a child. ","Memphis, TN","January 31, 1981",39,he
4,Sacha Baron Cohen ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1616201,00.html",Null,Null,"Born: October 13, 1971 (age 49 years), Hammersmith, London, United Kingdom","Sacha Noam Baron Cohen is an English actor, comedian, writer, and producer. He is known for his creation and portrayal of fictional satirical characters, including Ali G, Borat Sagdiyev, Brüno Gehard and Admiral General Aladeen. Baron Cohen adopts a variety of accents and guises for his characters. ","Hammersmith, London, United Kingdom","October 13, 1971",49,He
5,Leonardo DiCaprio ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1616213,00.html",Null,Null,"Born: November 11, 1974 (age 46 years), Los Angeles, CA","Leonardo Wilhelm DiCaprio is an American actor, producer and environmentalist. He has often played unconventional roles, particularly in biopics and period films. As of 2019, his films have grossed US$7.2 billion worldwide, and he has placed eight times in annual rankings of the highest-paid actors in the world. ","Los Angeles, CA","November 11, 1974",46,He
6,Nora Roberts ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1616215,00.html",Null,Null,"Born: October 10, 1950 (age 70 years), Silver Spring, MD",Nora Roberts is an American author of more than 225 romance novels. She writes as J. D. Robb for the in Death series and has also written under the pseudonyms Jill March and for publications in the U.K. as Sarah Hardesty. ,"Silver Spring, MD","October 10, 1950",70,She
7,Rick Rubin ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1616413,00.html",Null,Null,"Born: March 10, 1963 (age 57 years), Lido Beach, NY","Frederick Jay ""Rick"" Rubin is an American record producer and former co-president of Columbia Records. Along with Russell Simmons, he is the co-founder of Def Jam Recordings and also established American Recordings. ","Lido Beach, NY","March 10, 1963",57,he
8,Martin Scorsese ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1616423,00.html",Null,Null,"Born: November 17, 1942 (age 78 years), Flushing, New York, NY","Martin Charles Scorsese is an American film director, producer, screenwriter, and actor. One of the major figures of the New Hollywood era, he is widely regarded as one of the most significant and influential directors in film history. ","Flushing, New York, NY","November 17, 1942",78,he
9,Cate Blanchett ,ARTISTS,2007,"content.time.com/time/specials/2007/time100/article/0,28804,1595326_1595332_1616643,00.html",Null,Null,"Born: May 14, 1969 (age 51 years), Ivanhoe, Australia","Catherine Elise Blanchett AC is an Australian actress, producer and theatre director. One of the most acclaimed actresses of her generation, she is known for her wide range of roles across blockbusters, independent films and on the stage. ","Ivanhoe, Australia","May 14, 1969",51,her
