,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,Samantha Bee,PIONEERS,2017,https://time.com//collection/2017-time-100/4742710/samantha-bee/,Null,Null,"Born: October 25, 1969 (age 51 years), Toronto, Canada","Samantha Anne Bee is a Canadian-American comedian, writer, producer, political commentator, actress, and television host. Bee rose to fame as a correspondent on The Daily Show with Jon Stewart, where she became the longest-serving regular correspondent. ","Toronto, Canada","October 25, 1969",51,she
1,Chance the Rapper,PIONEERS,2017,https://time.com//collection/2017-time-100/4742682/chance-the-rapper/,Null,Null,"Born: April 16, 1993 (age 27 years), Chicago, IL","Chancelor Johnathan Bennett, known professionally as Chance the Rapper, is an American rapper, singer, songwriter, record producer, activist, actor, and philanthropist. Born in Chicago, Illinois, Chance the Rapper released his debut mixtape 10 Day in 2012. ","Chicago, IL","April 16, 1993",27,his
2,Constance Wu,PIONEERS,2017,https://time.com//collection/2017-time-100/4742685/constance-wu/,Null,Null,"Born: March 22, 1982 (age 38 years), Richmond, VA","Constance Wu is an American actress. She stars as Jessica Huang in the ABC television comedy Fresh Off the Boat, which is her breakthrough role. She has been nominated for two TCA Awards and four Critics' Choice Television Awards for Fresh Off the Boat. ","Richmond, VA","March 22, 1982",38,She
3,Gavin Grimm,PIONEERS,2017,https://time.com//collection/2017-time-100/4742687/gavin-grimm/,Null,Null,Null,Null,,,,
4,Kirsten Green,PIONEERS,2017,https://time.com//collection/2017-time-100/4742703/kirsten-green/,Null,Null,"Education: University of California, Los Angeles","Kirsten Green is an American venture capitalist, the founder and managing partner of Forerunner Ventures. ",,,,
5,Bob Ferguson,PIONEERS,2017,https://time.com//collection/2017-time-100/4742678/bob-ferguson/,Null,Null,"Born: February 23, 1965 (age 55 years), Queen Anne, Seattle, WA","Robert Watson Ferguson is an American lawyer and politician serving as the 18th Attorney General of Washington. A Democrat, he was elected in 2012 and re-elected in 2016. Prior to serving as Attorney General, Ferguson was a member of the King County Council. ","Queen Anne, Seattle, WA","February 23, 1965",55,he
6,Ivanka Trump,PIONEERS,2017,https://time.com//collection/2017-time-100/4742699/ivanka-trump/,Null,Null,"Born: October 30, 1981 (age 39 years), Manhattan, New York, NY","Ivana Marie ""Ivanka"" Trump is an American businesswoman, serving since 2017 as Advisor to the President, her father Donald Trump, and the Director of the Office of Economic Initiatives and Entrepreneurship. ","Manhattan, New York, NY","October 30, 1981",39,her
7,Demis Hassabis,PIONEERS,2017,https://time.com//collection/2017-time-100/4742686/demis-hassabis/,Null,Null,"Born: July 27, 1976 (age 44 years), London, United Kingdom","Dr Demis HassabisCBE FRS FREng FRSA is a British artificial intelligence researcher, neuroscientist, video game designer, entrepreneur, and five times winner of the Pentamind board games championship. He is the chief executive officer and co-founder of DeepMind, and a UK Government AI Advisor since 2018. ","London, United Kingdom","July 27, 1976",44,He
8,Barbara Lynch,PIONEERS,2017,https://time.com//collection/2017-time-100/4742669/barbara-lynch/,Null,Null,"Born: March 19, 1964 (age 56 years), Boston, MA","Barbara Lynch is a restaurateur. In 2017 she was included in Time magazine's ""Top 100 Most Influential People of the Year"" for her pioneering contributions in the culinary world and her focus on local wealth creation through agronomy. ","Boston, MA","March 19, 1964",56,she
9,Hamdi Ulukaya,PIONEERS,2017,https://time.com//collection/2017-time-100/4742698/hamdi-ulukaya/,Null,Null,"Born: October 26, 1972 (age 48 years), Erzincan, Turkey","Hamdi Ulukaya is a Turkish billionaire, philantropist and activist of Kurdish ancestry based in the United States. Ulukaya is the owner, founder, chairman, and CEO of Chobani, the #1-selling strained yogurt brand in the US. He established production facilities first in upstate New York, and since then has expanded. ","Erzincan, Turkey","October 26, 1972",48,He
10,Jared Kushner,PIONEERS,2017,https://time.com//collection/2017-time-100/4742700/jared-kushner/,Null,Null,"Born: January 10, 1981 (age 39 years), Livingston, NJ","Jared Corey Kushner is an American investor, real estate developer, and newspaper publisher who is a senior advisor to his father-in-law, Donald Trump, the 45th president of the United States. ","Livingston, NJ","January 10, 1981",39,his
11,Celina Turchi,PIONEERS,2017,https://time.com//collection/2017-time-100/4742680/celina-turchi/,Null,Null,"Born: 1952 (age 68 years), State of Goiás, Brazil","Celina Maria Turchi Martelli is a Brazilian epidemiologist, graduated by Federal University of Goiás and researcher at Fundação Oswaldo Cruz in Recife. ","State of Goiás, Brazil",1952,68,
12,Jordan Peele,PIONEERS,2017,https://time.com//collection/2017-time-100/4742702/jordan-peele/,Null,Null,"Born: February 21, 1979 (age 41 years), New York, NY","Jordan Haworth Peele is an American actor, voice actor, comedian, writer, director, and producer. He is best known for his television and film work in the comedy and horror genres. ","New York, NY","February 21, 1979",41,He
13,Glenda Gray,PIONEERS,2017,https://time.com//collection/2017-time-100/4742691/glenda-gray/,Null,Null,"Born: December 14, 1962 (age 57 years), Boksburg, South Africa","Glenda Elisabeth Gray MB BCh, FC Paeds, DSc, OMS is a South African physician, scientist and activist specializing in the care of children and in HIV medicine. In 2012 she was awarded South Africa's highest honour, the Order of Mapungubwe. ","Boksburg, South Africa","December 14, 1962",57,she
14,Yuriko Koike,PIONEERS,2017,https://time.com//collection/2017-time-100/4742712/yuriko-koike/,Null,Null,"Born: July 15, 1952 (age 68 years), Ashiya, Hyogo, Japan",Yuriko Koike is a Japanese politician who currently serves as the Governor of Tokyo. She graduated from Cairo University as the top student in 1976 and was a member of the House of Representatives of ... ,"Ashiya, Hyogo, Japan","July 15, 1952",68,She
15,Conor McGregor,PIONEERS,2017,https://time.com//collection/2017-time-100/4742684/conor-mcgregor/,Null,Null,"Born: July 14, 1988 (age 32 years), Crumlin, Dublin, Ireland","Conor Anthony McGregor is an Irish professional mixed martial artist and boxer. He is a former Ultimate Fighting Championship featherweight and lightweight champion. As of November 23, 2020, he is ranked number 12 in the UFC men's pound-for-pound rankings and number 4 in the UFC lightweight rankings. ","Crumlin, Dublin, Ireland","July 14, 1988",32,He
16,Riz Ahmed,PIONEERS,2017,https://time.com//collection/2017-time-100/4742708/riz-ahmed/,Null,Null,"Born: December 1, 1982 (age 38 years), Wembley, United Kingdom","Rizwan Ahmed, also known as Riz MC, is a British actor, rapper, and activist. As an actor, he has won a Primetime Emmy Award and has received nominations for a Golden Globe and three British Independent Film Awards. ","Wembley, United Kingdom","December 1, 1982",38,he
17,Guus Velders,PIONEERS,2017,https://time.com//collection/2017-time-100/4742695/guus-velders/,Null,Null,Null,Null,,,,
18,"Tamika Mallory, Bob Bland, Carmen Perez and Linda Sarsour",PIONEERS,2017,https://time.com//collection/2017-time-100/4742711/tamika-mallory-bob-bland-carmen-perez-linda-sarsour/,Null,Null,Null,Null,,,,
19,"Natalie Batalha, Guillem Anglada-Escudé and Michaël Gillon",PIONEERS,2017,https://time.com//collection/2017-time-100/4742707/natalie-batalha-guillem-anglada-escude-michael-gillon/,Null,Null,Null,Null,,,,
20,Emma Stone,ARTISTS,2017,https://time.com//collection/2017-time-100/4736213/emma-stone/,Null,Null,"Born: November 6, 1988 (age 32 years), Scottsdale, AZ","Emily Jean ""Emma"" Stone is an American actress. The recipient of several accolades, including an Academy Award, a British Academy Film Award, and a Golden Globe Award, she was the world's highest-paid actress in 2017. ","Scottsdale, AZ","November 6, 1988",32,she
