,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,Megan Thee Stallion,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888165/megan-thee-stallion-pioneer/,Megan Thee Stallion,American rapper,"Born: February 15, 1995 (age 25 years), Bexar County, TX","Megan Jovon Ruth Pete, known professionally as Megan Thee Stallion, is an American rapper, singer, and songwriter. Originally from Houston, Texas, she first garnered attention when videos of her freestyling became popular on social media platforms such as Instagram. ","Bexar County, TX","February 15, 1995",25,she
1,Giannis Antetokounmpo,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888173/giannis-antetokounmpo/,Giannis Antetokounmpo,Basketball player,"Born: December 6, 1994 (age 26 years), Athens, Greece","Giannis Sina Ugo Antetokounmpo is a Greek professional basketball player for the Milwaukee Bucks of the National Basketball Association. Born in Greece to Nigerian parents, Antetokounmpo began playing basketball for the youth teams of Filathlitikos in Athens. ","Athens, Greece","December 6, 1994",26,
2,Ibram X. Kendi,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888207/ibram-x-kendi/,Ibram X. Kendi,American author,"Born: 1982 (age 38 years), Jamaica, New York, NY","Ibram Xolani Kendi is an American author, professor, anti-racist activist, and historian of race and discriminatory policy in America. In July 2020, he assumed the position of director of the Center for Antiracist Research at Boston University. Kendi was included in Time Magazine's 100 Most Influential People of 2020. ","Jamaica, New York, NY",1982,38,he
3,Nathan Law,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888201/nathan-law/,Nathan Law,Political leader,"Born: July 13, 1993 (age 27 years), Shenzhen, China","Nathan Law Kwun-chung is an activist from Hong Kong. As a former student leader, he has been chairman of the Representative Council of the Lingnan University Students' Union, acting president of the LUSU, and secretary-general of the Hong Kong Federation of Students. ","Shenzhen, China","July 13, 1993",27,he
4,Tomi Adeyemi,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888211/tomi-adeyemi/,Tomi Adeyemi,American novelist,"Born: August 1, 1993 (age 27 years), United States","Tomi Adeyemi is a bestselling Nigerian-American novelist and creative writing coach. She is known for her #1 NY Times bestselling book Children of Blood and Bone, the first in the Legacy of Orïsha ... ",United States,"August 1, 1993",27,She
5,Christina Koch,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888216/all-women-spacewalk-christina-koch-jessica-meir/,Christina Koch,American engineer,"Born: January 29, 1979 (age 41 years), Grand Rapids, MI",Christina Hammock Koch is an American engineer and NASA astronaut of the class of 2013. She received Bachelor of Science degrees in Electrical Engineering and Physics and a Master of Science in Electrical Engineering from North Carolina State University. ,"Grand Rapids, MI","January 29, 1979",41,She
6,Julie K. Brown,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888209/julie-k-brown/,Julie K. Brown,American journalist,"Born: 1961 (age 59 years), Philadelphia, PA","Julie K. Brown is an American investigative journalist with the Miami Herald best known for pursuing the sex trafficking story surrounding Jeffrey Epstein, who in 2008 was allowed to plead guilty to two state-level prostitution offenses. ","Philadelphia, PA",1961,59,
7,Cecilia Martinez,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888195/cecilia-martinez/,Cecilia Martinez,Null,"Born: Taos, NM","Cecilia Martinez is the co-founder and Executive Director of the Center for Earth, Energy, and Democracy. In 2020, she was named one of Time Magazine's 100 Most Influential People, nominated by New Jersey Senator Cory Booker for her work in environmental justice and climate policy. ","Taos, MN",,,she
8,Maya Moore,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888213/maya-moore/,Maya Moore,American basketball player,"Born: June 11, 1989 (age 31 years), Jefferson City, MO","Maya April Moore is an American professional basketball player for the Minnesota Lynx of the Women's National Basketball Association who is on sabbatical. Naming her their inaugural Performer of the Year in 2017, Sports Illustrated called Moore the greatest winner in the history of women's basketball. ","Jefferson City, MO","June 11, 1989",31,her
9,Chase Strangio,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888158/chase-strangio/,Chase Strangio,American lawyer,Born: Massachusetts,Chase Strangio is an American lawyer and transgender rights activist. He is a staff attorney with the American Civil Liberties Union. ,Massachusetts,,,He
10,Zhang Yongzhen,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888191/zhang-yongzhen/,Null,Null,Null,Null,,,,
11,Tourmaline,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888205/tourmaline/,Reina Gossett,Activist,"Born: July 20, 1983 (age 37 years), Massachusetts","Tourmaline is an activist, filmmaker and writer based in New York City, currently the 2016–2018 Activist-in-Residence at Barnard Center for Research on Women. She is a transgender woman who identifies as queer. ",Massachusetts,"July 20, 1983",37,She
12,Waad al-Kateab,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888171/waad-al-kateab/,Waad Al-Kateab,Syrian journalist,"Born: 1991 (age 29 years), Syria","Waad Al-Kateab is the pseudonym of a Syrian journalist, filmmaker, and activist. Her documentary, For Sama, was nominated for four BAFTAs at the 73rd British Academy Film Awards, winning for Best Documentary, and the Academy Award for Best Documentary Feature at the 92nd Academy Awards. ",Syria,1991,29,Her
13,Abubacarr Tambadou,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888167/abubacarr-tambadou/,Abubacarr Tambadou,Lawyer,"Born: December 12, 1972 (age 47 years)","Abubacarr Marie ""Ba"" Tambadou is a Gambian lawyer and politician who is currently the Registrar of the International Residual Mechanism for Criminal Tribunals, an international court founded by the United Nations Security Council. ",Gambia,"December 12, 1972",47,
14,Gabriela Cámara,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888220/gabriela-camara/,Gabriela Cámara,Mexican chef,"Born: Chihuahua, Mexico","Gabriela Cámara is a Mexican chef, restaurant owner, and author. Born in Chihuahua City, Cámara grew up in Tepoztlán. In 1998, Cámara opened Contramar in Mexico City, a restaurant specializing in seafood. She opened the restaurant Cala in San Francisco in 2015. ","Chihuahua, Mexico",,,She
15,Camilla Rothe,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888186/camilla-rothe/,Null,Null,Null,Null,,,,
16,Rebecca Gomperts,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888177/rebecca-gomperts/,Rebecca Gomperts,Doctor,"Born: 1966 (age 54 years), Paramaribo, Suriname","Rebecca Gomperts is a doctor based in Amsterdam and is the founder of Women on Waves and Women on Web, which provides reproductive health services for women in countries where it is not provided. In 2013 and 2014, she was included in the BBC's 100 Women. ","Paramaribo, Suriname",1966,54,she
