,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
17,Ravindra Gupta,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888184/ravindra-gupta/,Ravindra Gupta,Professor,"Education: University College London, Harvard T.H. Chan School of Public Health","Professor Ravindra ""Ravi"" Kumar Gupta is a professor of clinical microbiology at the Cambridge Institute of Therapeutic Immunology and Infectious Disease at the University of Cambridge. He is also a member of the faculty of the Africa Health Research Institute in Durban, South Africa. ","Durban, South Africa",,,He
18,Lauren Gardner,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888182/lauren-gardner/,Lauren Gardner,American sportscaster,"Born: November 6, 1985 (age 35 years)","Lauren Gardner is an American sportscaster who is employed by the DAZN Group, NHL & MLB Networks. ","New York, NY","November 6, 1985",35,
19,Shi Zhengli,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888188/shi-zhengli/,Shi Zhengli,Chinese virologist,"Born: May 26, 1964 (age 56 years), Xixia County, Nanyang, China","Shi Zhengli is a Chinese virologist who researches SARS-like coronaviruses of bat origin. Shi directs the Center for Emerging Infectious Diseases at the Wuhan Institute of Virology, a biosafety level 4 laboratory located in Jiangxia District, Wuhan. ","Xixia County, Nanyang, China","May 26, 1964",56,
20,Shiori Ito,PIONEERS,2020,https://time.com/collection/100-most-influential-people-2020/5888199/shiori-ito/,Shiori Ito,Japanese journalist,"Born: 1989 (age 31 years), Kanagawa, Japan",Shiori Itō is a Japanese journalist and filmmaker. Her work focuses on gender equality and human rights issues. Itō's activism led to her inclusion in the Time 100 Most Influential People of 2020. ,"Kanagawa, Japan",1989,31,Her
21,The Weeknd,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888500/the-weeknd/,The Weeknd,Canadian singer,"Born: February 16, 1990 (age 30 years), Toronto, Canada","Abel Makkonen Tesfaye, known professionally as The Weeknd, is a Canadian singer, songwriter, and record producer. Noted for his falsetto and eccentric music style, Tesfaye is recognized for heavily influencing contemporary R&B and inspiring multiple artists. ","Toronto, Canada","February 16, 1990",30,his
22,Ali Wong,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888494/ali-wong/,Ali Wong,American comedian,"Born: April 19, 1982 (age 38 years), Pacific Heights, San Francisco, CA","Alexandra Dawn ""Ali"" Wong is an American comedian, actress and writer. She is noted for her Netflix stand-up specials Baby Cobra and Hard Knock Wife, both of which received critical acclaim. ","Pacific Heights, San Francisco, CA","April 19, 1982",38,She
23,Michael B. Jordan,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888487/michael-b-jordan/,Michael B. Jordan,American actor,"Born: February 9, 1987 (age 33 years), Santa Ana, CA","Michael Bakari Jordan is an American actor and producer. He is known for his film roles as shooting victim Oscar Grant in the drama Fruitvale Station, boxer Adonis ""Donnie"" Creed in the Rocky sequel film Creed, and Erik Killmonger in Black Panther, all three of which were directed by Ryan Coogler. ","Santa Ana, CA","February 9, 1987",33,He
24,Selena Gomez,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888461/selena-gomez/,Selena Gomez,American singer,"Born: July 22, 1992 (age 28 years), Grand Prairie, TX","Selena Marie Gomez is an American singer, actress, and producer. Born and raised in Texas, Gomez began her career by appearing on the children's television series Barney & Friends. ","Grand Prairie, TX","July 22, 1992",28,her
25,J Balvin,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888481/j-balvin/,J Balvin,Colombian singer,"Born: May 7, 1985 (age 35 years), Medellín, Colombia","José Álvaro Osorio Balvín, better known as J Balvin, is a Colombian reggaeton singer. He has been referred to as the ""Prince of Reggaeton"", and is one of the best-selling Latin music artists with sales of more than 35 million records worldwide. Balvin was born in Medellín, Colombia. ","Medellín, Colombia","May 7, 1985",35,He
26,JoJo Siwa,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888473/jojo-siwa/,Joelle Joanie Siwa,American dancer,"Born: May 19, 2003 (age 17 years), Omaha, NE","Joelle Joanie ""JoJo"" Siwa is an American dancer, singer, actress, and YouTube personality. She is known for appearing for two seasons on Dance Moms along with her mother, Jessalynn Siwa, and for her singles ""Boomerang"" and ""Kid in a Candy Store"". ","Omaha, NE","May 19, 2003",17,She
27,Halsey,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888466/halsey/,Halsey,Singer-songwriter,"Born: September 29, 1994 (age 26 years), Edison, NJ","Ashley Nicolette Frangipane, known professionally as Halsey, is an American singer, songwriter, and activist. Gaining attention from self-released music on social media platforms, she was signed by Astralwerks in 2014 and released her debut EP, Room 93, later that year. ","Edison, NJ","September 29, 1994",26,she
28,Phoebe Waller-Bridge,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888489/phoebe-waller-bridge/,Phoebe Waller-Bridge,Actress,"Born: July 14, 1985 (age 35 years), Ealing, London, United Kingdom","Phoebe Mary Waller-Bridge is an English actress, writer, and producer. She is best known as the creator, writer, and star of the BBC tragicomedy series Fleabag. She was also the head writer and executive producer for the first series of Killing Eve, which she adapted for television. ","Ealing, London, United Kingdom","July 14, 1985",35,She
29,Jennifer Hudson,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888468/jennifer-hudson-artist/,Jennifer Hudson,American singer,"Born: September 12, 1981 (age 39 years), Chicago, IL","Jennifer Kate Hudson, also known by her nickname J.Hud, is an American singer, actress, and philanthropist. Throughout her music and acting careers, Hudson has been the recipient of numerous accolades, including; an Academy Award, a Golden Globe Award, and two Grammy Awards. ","Chicago, IL","September 12, 1981",39,her
30,Yo-Yo Ma,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888483/yo-yo-ma/,Yo-Yo Ma,Cellist,"Born: October 7, 1955 (age 65 years), Paris, France","Yo-Yo Ma is an American cellist. Born in Paris, France to Chinese parents and educated in New York City, United States, Ma was a child prodigy, performing from the age of four and a half. He graduated from The Juilliard School and Harvard University, and has performed as a soloist with orchestras around the world. ","Paris, France","October 7, 1955",65,He
31,Dapper Dan,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888496/dapper-dan/,Dapper Dan,American fashion designer,"Born: August 8, 1944 (age 76 years), Harlem, New York, NY","Daniel Day, known as Dapper Dan, is an American fashion designer and haberdasher from Harlem, New York. ","Harlem, New York, NY","August 8, 1944",76,
32,Anaïs Mitchell,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888471/anais-mitchell/,Anaïs Mitchell,American singer-songwriter,"Born: March 26, 1981 (age 39 years), Montpelier, VT","Anaïs Mitchell is an American singer-songwriter, musician, and playwright. Mitchell has released seven albums, including Hadestown, Young Man in America, and Child Ballads. ","Montpelier, VT","March 26, 1981",39,
33,Michaela Coel,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888492/michaela-coel/,Michaela Coel,Actress,"Place of birth: London, United Kingdom","Michaela Ewuraba Boakye-Collinson, known professionally as Michaela Coel, is an English actress, screenwriter, director, producer, and singer. ","London, United Kingdom",,,
34,Bong Joon Ho,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888477/bong-joon-ho/,Bong Joon-ho,South Korean film director,"Born: September 14, 1969 (age 51 years), Bongdeok-dong, Daegu, South Korea","Bong Joon-ho is a South Korean film director, producer and screenwriter. His films are characterised by the use of social themes, genre-mixing, black humor, and sudden tone shifts. ","Bongdeok-dong, Daegu, South Korea","September 14, 1969",51,His
35,Las Tesis,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888485/lastesis/,A Rapist in Your Path,Null,Null,"""A Rapist in Your Path"", also known as ""The Rapist Is You"", is a Chilean feminist performance piece protesting violence against women. It has been performed in Latin America, the United States, and Europe. ","Santiago, Chile",,,
36,Julie Mehretu,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888498/julie-mehretu/,Julie Mehretu,American visual artist,"Born: 1970 (age 50 years), Addis Ababa, Ethiopia","Julie Mehretu is an American contemporary visual artist, known for her multi-layered paintings of abstracted landscapes on a large scale. Her paintings, drawings, and prints depict the cumulative effects of urban sociopolitical changes. Mehretu is included in Time magazine 's 100 Most Influential People of 2020. ","Addis Ababa, Ethiopia",1970,50,her
37,Ayushmann Khurrana,ARTISTS,2020,https://time.com/collection/100-most-influential-people-2020/5888475/ayushmann-khurrana/,Ayushmann Khurrana,Indian actor,"Born: September 14, 1984 (age 36 years), Chandigarh, India","Ayushmann Khurrana is an Indian actor, singer, and television host. Known for his portrayals of ordinary men often battling social norms, he is the recipient of several awards, including a National Film Award and four Filmfare Awards, and has appeared in Forbes India's Celebrity 100 list of 2013 and 2019. ","Chandigarh, India","September 14, 1984",36,his
38,Anthony Fauci,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888309/anthony-fauci/,Anthony Fauci,American physician,"Born: December 24, 1940 (age 79 years), Brooklyn, New York, NY",Anthony Stephen Fauci is an American physician and immunologist who has served as the director of the National Institute of Allergy and Infectious Diseases since 1984. ,"Brooklyn, New York, NY","December 24, 1940",79,
39,Kamala Harris,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888343/kamala-harris/,Kamala Harris,US Vice President-elect (Source: The AP),"Born: October 20, 1964 (age 56 years), Oakland Medical Center, Oakland, CA","Kamala Devi Harris is an American politician and attorney, the junior United States senator from California, and the vice president-elect of the United States. ","Oakland Medical Center, Oakland, CA","October 20, 1964",56,
40,Tsai Ing-wen,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888307/tsai-ing-wen/,Tsai Ing-wen,President of the Republic of China,"Born: August 31, 1956 (age 64 years), Mackay Memorial Hospital, Taipei, Taiwan","Tsai Ing-wen is a Taiwanese politician and academic serving as the seventh president of the Republic of China, since 2016. A member of the Democratic Progressive Party, Tsai is the first female president of Taiwan. ","Mackay Memorial Hospital, Taipei, Taiwan","August 31, 1956",64,
41,John Roberts,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888317/john-roberts/,John Roberts,Chief Justice of the United States,"Born: January 27, 1955 (age 65 years), Buffalo, NY",John Glover Roberts Jr. is an American lawyer and jurist who serves as Chief Justice of the United States. ,"Buffalo, NY","January 27, 1955",65,
42,Xi Jinping,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888325/xi-jinping-china/,Xi Jinping,Chairman of the Central Military Commission of the People's Republic of China,"Born: June 15, 1953 (age 67 years), Beijing, China","Xi Jinping is a Chinese politician who has served as General Secretary of the Chinese Communist Party and Chairman of the Central Military Commission since 2012, and President of the People's Republic of China since 2013. ","Beijing, China","June 15, 1953",67,
43,Donald Trump,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888315/donald-j-trump-2020/,Donald Trump,45th U.S. President,"Born: June 14, 1946 (age 74 years), Jamaica Hospital Medical Center, New York, NY","Donald John Trump is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality. ","Jamaica Hospital Medical Center, New York, NY","June 14, 1946",74,he
44,Caesar,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888301/caesar/,Julius Caesar,Former Roman consul,"Born: Rome, Italy","Gaius Julius Caesar was a Roman general and statesman who played a critical role in the events that led to the demise of the Roman Republic and the rise of the Roman Empire. In 60 BC, Caesar, Crassus and Pompey formed the First Triumvirate, a political alliance that dominated Roman politics for several years. ",,,,
45,Angela Merkel,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888319/angela-merkel/,Angela Merkel,Chancellor of Germany,"Born: July 17, 1954 (age 66 years), Hamburg, Germany","Angela Dorothea Merkel is a German politician who has been Chancellor of Germany since 2005. She served as Leader of the Opposition from 2002 to 2005 and as Leader of the Christian Democratic Union from 2000 to 2018. A member of the Christian Democratic Union, Merkel is the first female Chancellor of Germany. ","Hamburg, Germany","July 17, 1954",66,She
46,Joe Biden,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888311/joe-biden/,Joe Biden,US President-elect (Source: The AP),"Children: Hunter Biden, Beau Biden, Ashley Biden, Naomi Christina Biden Trending","Joseph Robinette Biden Jr. is an American politician and the president-elect of the United States. He defeated incumbent president Donald Trump in the 2020 presidential election and will be inaugurated as the 46th president on January 20, 2021. ",,,,He
47,Jair Bolsonaro,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888329/jair-bolsonaro-brazil/,Jair Bolsonaro,President of Brazil,"Born: March 21, 1955 (age 65 years), Glicério, State of São Paulo, Brazil","Jair Messias Bolsonaro is a Brazilian politician and retired military officer who is the 38th president of Brazil. Elected in 2018 as a member of the conservative Social Liberal Party before cutting ties with them, he has been in office since 1 January 2019. ","Glicério, State of São Paulo, Brazil","March 21, 1955",65,he
48,Nancy Pelosi,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888303/nancy-pelosi-speaker-of-the-house/,Nancy Pelosi,Speaker of the United States House of Representatives,"Born: March 26, 1940 (age 80 years), Baltimore, MD","Nancy Patricia Pelosi is an American politician serving as Speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. Pelosi has served as a U.S. representative from California since 1987. ","Baltimore, MD","March 26, 1940",80,
49,Narendra Modi,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888327/narendra-modi-india/,Narendra Modi,Prime Minister of India,"Education: Gujarat University (1983), School of Open Learning, University of Delhi (1978), University of Delhi Trending",Narendra Damodardas Modi is an Indian politician serving as the 14th and current Prime Minister of India since 2014. He was the Chief Minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi. ,,,,He
50,William Barr,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888313/william-barr-attorney-general/,William Barr,United States Attorney General,"Born: May 23, 1950 (age 70 years), New York, NY","William Pelham Barr is an American attorney serving as the 85th United States Attorney General since 2019, previously holding the office from 1991 to 1993. From 1973 to 1977, Barr was employed by the Central Intelligence Agency during his schooling years. He then served as a law clerk to judge Malcolm Richard Wilkey. ","New York, NY","May 23, 1950",70,his
51,Anne Hidalgo,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888321/anne-hidalgo/,Anne Hidalgo,Mayor of Paris,"Born: June 19, 1959 (age 61 years), San Fernando, Spain","Ana María ""Anne"" Hidalgo Aleu is a French–Spanish politician serving as Mayor of Paris since 2014. She is the first woman to hold the office. ","San Fernando, Spain","June 19, 1959",61,She
52,Tedros Adhanom Ghebreyesus,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888335/tedros-adhanom-ghebreyesus/,Tedros Adhanom,Director general of the World Health Organization,"Born: March 3, 1965 (age 55 years), Asmara, Eritrea","Tedros Adhanom Ghebreyesus is an Ethiopian biologist, public health researcher and official who has served since 2017 as Director-General of the World Health Organization. Tedros is the first non-physician and first African in the role; he was endorsed by the African Union. ","Asmara, Eritrea","March 3, 1965",55,he
53,Mary Kay Henry,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888339/mary-kay-henry/,Mary Kay Henry,American union organizer,"Born: 1958 (age 62 years), Wayne County, MI","Mary Kay Henry is an American labor union activist who was elected International President of the Service Employees International Union on May 8, 2010. She is the first woman to lead the union. ","Wayne County, MI",1958,62,She
54,Nemonte Nenquimo,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888337/nemonte-nenquimo/,Nemonte Nenquimo,Null,Born: 1986 (age 34 years),Nemonte Nenquimo is an Indigenous activist and member of the Waorani nation from the Amazonian Region of Ecuador. She is the first female president of the Waorani of Pastaza and co-founder of the Indigenous-led nonprofit organization Ceibo Alliance. ,"Waorani, Ecuador",1986,34,She
55,Ursula von der Leyen,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888323/ursula-von-der-leyen/,Ursula von der Leyen,President of the European Commission,"Born: October 8, 1958 (age 62 years), Ixelles, Belgium","Ursula Gertrud von der Leyen is a German politician and the President of the European Commission since 1 December 2019. She served in the federal government of Germany from 2005 to 2019, as the Federal Minister of Defence, in Angela Merkel's Cabinet. ","Ixelles, Belgium","October 8, 1958",62,She
56,Jung Eun-kyeong,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888333/jung-eun-kyeong/,Jeong Eun-Kyeong,South Korean public official,"Born: 1965 (age 55 years), Gwangju, South Korea","Jeong Eun-kyeong or Jung Eun-kyeong is a South Korean infectious disease and public health expert currently serving as the first Commissioner of KDCA, Korea Disease Control and Prevention Agency, from September 2020. ","Gwangju, South Korea",1965,55,
57,Bonnie Castillo,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888341/bonnie-castillo/,Bonnie Castillo,Nurse,Born: 1960 (age 60 years),Bonnie Castillo is the executive director of National Nurses United and of the California Nurses Association/National Nurses Organizing Committee. ,,1960,60,
58,Jean-Jacques Muyembe Tamfum,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888331/jean-jacques-muyembe-tamfum/,Jean-Jacques Muyembe-Tamfum,Congolese microbiologist,Born: 1942 (age 78 years),Jean-Jacques Muyembe is a Congolese microbiologist. He is the General Director of the Democratic Republic of the Congo Institut National pour la Recherche Biomedicale. ,Democratic Repuublic of the Congo,1942,78,He
59,Yousef Al Otaiba,LEADERS,2020,https://time.com/collection/100-most-influential-people-2020/5888299/yousef-al-otaiba/,Yousef Al Otaiba,United Arab Emirates Ambassador to the United States,"Born: January 19, 1974 (age 46 years), Abu Dhabi, United Arab Emirates","Yousef Al Otaiba is the current United Arab Emirates ambassador to the United States and Minister of state. Previously Al Otaiba served as non-resident ambassador to Mexico. His father is Petroleum magnate Mana Al Otaiba, who served as the president of OPEC a record six times. ","Abu Dhabi, United Arab Emirates","January 19, 1974",46,His
60,Gabrielle Union,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888441/gabrielle-union/,Gabrielle Union,American actress,"Born: October 29, 1972 (age 48 years), Omaha, NE","Gabrielle Monique Union-Wade is an American actress, voice artist, activist, and author. She began her career in the 1990s, appearing on television sitcoms, before landing supporting roles in teenage comedy films She's All That and 10 Things I Hate About You. Her breakthrough role was in the 2000 film Bring It On. ","Omaha, NE","October 29, 1972",48,She
61,Dwyane Wade,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888447/dwyane-wade/,Dwyane Wade,American basketball player,"Born: January 17, 1982 (age 38 years), Chicago, IL",Dwyane Tyrone Wade Jr. is an American former professional basketball player. Wade spent the majority of his 16-year career playing for the Miami Heat in the National Basketball Association. ,"Chicago, IL","January 17, 1982",38,his
62,Sundar Pichai,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888419/sundar-pichai/,Sundar Pichai,Chief Executive Officer of Alphabet,"Born: June 10, 1972 (age 48 years), Madurai, India","Pichai Sundararajan, known as Sundar Pichai, is an Indian-American business executive. He is the chief executive officer of Alphabet Inc. and its subsidiary Google. Born in Madurai, India, Pichai earned his degree from IIT Kharagpur in metallurgical engineering. ","Madurai, India","June 10, 1972",48,He
63,Tyler Perry,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888429/tyler-perry/,Tyler Perry,American actor,"Born: September 13, 1969 (age 51 years), New Orleans, LA","Tyler Perry is an American actor, writer, producer and director. In 2011, Forbes listed him as the highest-paid man in entertainment, earning US$130 million between May 2010 and May 2011. Perry created and performs the Madea character, a tough elderly woman. ","New Orleans, LA","September 13, 1969",51,
64,MacKenzie Scott,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888445/mackenzie-scott/,MacKenzie Scott,American novelist,"Born: April 7, 1970 (age 50 years), San Francisco, CA","MacKenzie Scott is an American novelist, billionaire, and venture philanthropist. She has served as the executive director of Bystander Revolution, an anti-bullying organization she founded, since 2014. ","San Francisco, CA","April 7, 1970",50,She
65,Robert F. Smith,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888443/robert-f-smith/,Robert F. Smith,"Chairman of VISTA EQUITY PARTNERS, LLC","Born: December 1, 1962 (age 58 years), Colorado","Robert Frederick Smith is an American businessman, philanthropist, chemical engineer, and investor. He is the founder, chairman, and CEO of investment firm Vista Equity Partners. ",Colorado,"December 1, 1962",58,He
66,Lewis Hamilton,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888433/lewis-hamilton/,Lewis Hamilton,Racing driver,"Born: January 7, 1985 (age 35 years), Stevenage, United Kingdom","Lewis Carl Davidson Hamilton MBE HonFREng is a British racing driver currently competing in Formula One for Mercedes, having previously driven for McLaren. ","Stevenage, United Kingdom","January 7, 1985",35,
67,Jerome Powell,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888421/jerome-powell-federal-reserve/,Jerome Powell,Chair of the Federal Reserve,"Born: February 4, 1953 (age 67 years), Washington, D.C.","Jerome Hayden ""Jay"" Powell is the 16th Chair of the Federal Reserve, serving in that office since February 2018. ","Washington, D.C.","February 4, 1953",67,
68,Eric Yuan,TITANS,2020,https://time.com/collection/100-most-influential-people-2020/5888435/eric-yuan/,Eric Yuan,CEO of Zoom,"Born: 1970 (age 50 years), Tai'an, China","Eric S. Yuan is a Chinese-born American billionaire businessman, and the CEO and founder of Zoom Video Communications, of which he owns 22%. ","Tai'an, China",1970,50,he
